methane;892.92;891.51;891.46;891.05;890.58;0.19
ethane;1564.35;1562.14;1562.06;1561.42;1560.69;0.51
propane;2224.03;2221.1;2220.99;2220.13;2219.17;0.51
n-butane;2883.35;2879.76;2879.63;2878.58;2877.4;0.72
2-methylpropane;2874.21;2870.58;2870.45;2869.39;2868.2;0.72
n-pentane;3542.91;3538.6;3538.45;3537.19;3535.77;0.23
2-methylbutane;3536.01;3531.68;3531.52;3530.25;3528.83;0.23
2_2-dimethylpropane;3521.75;3517.44;3517.28;3516.02;3514.61;0.25
n-hexane;4203.24;4198.24;4198.06;4196.6;4194.95;0.32
2-methylpentane;4195.64;4190.62;4190.44;4188.97;4187.32;0.53
3-methylpentane;4198.27;4193.22;4193.04;4191.56;4189.9;0.53
2_2-dimethylbutane;4185.86;4180.83;4180.65;4179.17;4177.52;0.48
2_3-dimethylbutane;4193.68;4188.61;4188.43;4186.94;4185.28;0.46
n-heptane;4862.88;4857.18;4856.98;4855.31;4853.43;0.67
n-octane;5522.41;5516.01;5515.78;5513.9;5511.8;0.76
n-nonane;6182.92;6175.82;6175.56;6173.48;6171.15;0.81
n-decane;6842.69;6834.9;6834.62;6832.33;6829.77;0.87
ethene;1413.55;1412.12;1412.07;1411.65;1411.18;0.21
propene;2061.57;2059.43;2059.35;2058.73;2058.02;0.34
1-butene;2721.57;2718.71;2718.6;2717.76;2716.82;0.39
cis-2-butene;2714.88;2711.94;2711.83;2710.97;2710;0.5
trans-2-butene;2711.09;2708.26;2708.16;2707.33;2706.4;0.47
2-methylpropene;2704.88;2702.06;2701.96;2701.13;2700.2;0.42
1-pentene;3381.32;3377.76;3377.63;3376.59;3375.42;0.73
propadiene;1945.26;1943.97;1943.92;1943.54;1943.11;0.6
1_2-butadiene;2597.15;2595.12;2595.05;2594.46;2593.79;0.4
1_3-butadiene;2544.14;2542.11;2542.03;2541.44;2540.77;0.41
ethyne;1301.86;1301.37;1301.35;1301.21;1301.05;0.32
cyclopentane;3326.14;3322.19;3322.05;3320.89;3319.59;0.36
methylcyclopentane;3977.05;3972.46;3972.29;3970.95;3969.44;0.56
ethylcyclopentane;4637.2;4631.93;4631.74;4630.2;4628.47;0.71
cyclohexane;3960.68;3956.02;3955.85;3954.49;3952.96;0.32
methylcyclohexane;4609.33;4604.08;4603.89;4602.36;4600.64;0.71
ethylcyclohexane;5272.76;5266.9;5266.69;5264.97;5263.05;0.95
benzene;3305.12;3302.9;3302.81;3302.16;3301.43;0.27
toluene;3952.77;3949.83;3949.72;3948.86;3947.89;0.51
ethylbenzene;4613.16;4609.54;4609.4;4608.34;4607.15;0.66
o-xylene;4602.18;4598.64;4598.52;4597.48;4596.31;0.76
methanol;766.6;765.09;765.03;764.59;764.09;0.13
methanethiol;1241.64;1240.28;1240.23;1239.84;1239.39;0.32
hydrogen;286.64;286.15;286.13;285.99;285.83;0.02
water;45.064;44.431;44.408;44.222;44.013;0.004
hydrogen sulfide;562.93;562.38;562.36;562.19;562.01;0.23
ammonia;384.57;383.51;383.47;383.16;382.81;0.18
hydrogen cyanide;671.92;671.67;671.66;671.58;671.5;1.26
carbon monoxide;282.8;282.91;282.91;282.95;282.98;0.06
carbonyl sulfide;548.01;548.14;548.15;548.19;548.23;0.24
carbon disulfide;1104.05;1104.32;1104.33;1104.4;1104.49;0.43
helium;0;0;0;0;0;0
neon;0;0;0;0;0;0
argon;0;0;0;0;0;0
nitrogen;0;0;0;0;0;0
oxygen;0;0;0;0;0;0
carbon dioxide;0;0;0;0;0;0
sulfur dioxide;0;0;0;0;0;0
n-undecane;7502.22;7493.73;7493.42;7490.93;7488.14;1.54
n-dodecane;8162.43;8153.24;8152.91;8150.21;8147.19;1.13
n-tridecane;8821.88;8811.99;8811.63;8808.73;8805.48;1.21
n-tetradecane;9481.71;9471.12;9470.73;9467.63;9464.15;1.32
n-pentadecane;10141.65;10130.23;10129.82;10126.52;10122.82;1.44
